nome,nazione,citta,indirizzo,latitudine,longitudine,fasciaPrezzo,delivery,prenotazioneOnline,tipoCucina,proprietario
Sadler,Italia,Milano,Via Ascanio Sforza 77,45.4501,9.1741,130,false,true,Creativa,sadler_chef
Felix Lo Basso,Italia,Milano,Corso Venezia 52,45.4708,9.2008,140,false,true,Innovativa,felix_chef
Essenza,Italia,Milano,Via Marghera 34,45.4667,9.1556,80,true,true,Fusion,essenza_chef
La Brisa,Italia,Milano,Via Brisa 15,45.4676,9.1778,110,false,true,Mediterranea,brisa_chef
Berton al Lago,Italia,Como,Via Regina 40,45.8429,9.0730,150,false,true,Lacustre,berton_lago
Romeo Chef & Baker,Italia,Roma,Via Ostiense 263,41.8608,12.4841,85,true,true,Contemporanea,romeo_chef
Bistrot 64,Italia,Roma,Via Guglielmo Calderini 64,41.9228,12.4673,95,false,true,Fusion,bistrot_chef
Il Sanlorenzo,Italia,Roma,Via dei Chiavari 4/5,41.8949,12.4744,120,false,true,Pesce,sanlorenzo_chef
Enoteca La Torre,Italia,Roma,Lungotevere delle Armi 23,41.9172,12.4669,130,false,true,Creativa,torre_chef
Per Me,Italia,Roma,Vicolo del Malpasso 9,41.8957,12.4716,110,false,true,Mediterranea,perme_chef
Il Convivio Troiani,Italia,Roma,Vicolo dei Soldati 31,41.9012,12.4724,140,false,true,Innovativa,troiani_chef
La Terrazza,Italia,Roma,Via Ludovisi 49,41.9063,12.4886,160,false,true,Mediterranea,terrazza_chef
Marzapane,Italia,Roma,Via Velletri 39,41.9123,12.5012,80,true,true,Contemporanea,marza_chef
Seafood Bar,Italia,Roma,Via del Gambero 14,41.9022,12.4798,90,true,true,Pesce,seafood_chef
Acquolina,Italia,Roma,Via del Vantaggio 14,41.9089,12.4759,120,false,true,Pesce,acquolina_chef
Osteria Francescana,Italia,Modena,Via Stella 22,44.6431,10.9266,300,false,true,Contemporanea,bottura_chef
Le Calandre,Italia,Padova,Via Liguria 1,45.4463,11.8861,250,false,true,Creativa,alajmo_chef
Piazza Duomo,Italia,Alba,Piazza Risorgimento 4,44.7003,8.0356,220,false,true,Piemontese,ceretto_chef
Uliassi,Italia,Senigallia,Via Banchina di Levante 6,43.7219,13.2227,180,false,true,Pesce,uliassi_chef
St. Hubertus,Italia,San Cassiano,Strada Micurà de Rü 20,46.5715,11.9347,250,false,true,Alpina,niederkofler_chef
